doc_id,TFIDF_scores,key
1846,0.156117605,competitors
696,0.155894308,5
1825,0.155624009,5
1030,0.155404708,5
987,0.155095568,5
1849,0.154890559,5
687,0.154765491,analysis
1168,0.153738124,bloomberg
338,0.153632464,8
1632,0.153482373,8
787,0.153005485,schemes
886,0.152696414,etc
92,0.152403081,4
1002,0.152403081,16
215,0.152004846,3
1422,0.151641439,3
333,0.15146806,3
2044,0.151242808,3
1066,0.151127721,5
201,0.150900598,5
529,0.150824431,2
942,0.150787844,2
1178,0.150492393,2
1126,0.150420388,2
1972,0.150394541,crowdfunding
1999,0.150185788,est
1048,0.150102228,person
1426,0.149567104,4
552,0.149412875,4
1913,0.149412875,4
2050,0.149033436,2016
1354,0.148981757,2016
1815,0.148895885,vol
264,0.148558895,rps
1261,0.148117655,2017
68,0.147605441,2017
1258,0.147605441,3
1117,0.146934216,3
1675,0.1465338,3
225,0.145719736,3
1871,0.145299971,3
126,0.144905014,money
237,0.144689348,1
1802,0.144231851,1
955,0.143766672,2
1703,0.142861509,2
227,0.142758376,2
1348,0.142422886,2
1653,0.142102628,2
1655,0.142102628,2
244,0.141666806,2
451,0.141223745,2
1914,0.141096893,eg
879,0.14067147,2015
490,0.140074571,off
2007,0.140074571,schemes
785,0.139425541,offerings
686,0.139393321,1
1259,0.139273964,1
1835,0.139273964,system
980,0.13885614,lending
376,0.138821495,universe
2037,0.138753915,platform
1118,0.137952403,eg
1622,0.137835673,eg
1079,0.137765078,eg
1662,0.137690249,eg
218,0.137147986,company
561,0.137147986,subsidiaries
2025,0.137147965,subsidiaries
258,0.136367804,evolve
572,0.135939903,fis
247,0.135837529,2016
441,0.135497052,ie
452,0.135493651,3
1239,0.135493651,behalf
1620,0.135450251,model
1700,0.135020631,system
1936,0.134486606,solution
905,0.134438051,vehicle
52,0.134411253,platform
2028,0.133954078,1
1925,0.133949681,rp
430,0.133944222,posting
933,0.133640536,2015
1688,0.133498804,applications
1830,0.133498804,attributes
1777,0.133417666,eg
1262,0.133155959,globally
1512,0.132947368,issues
1338,0.132780381,publication
382,0.132624295,publication
1681,0.132005455,10
1959,0.132005455,2016
489,0.13183489,tools
1008,0.131561828,clients
217,0.131302547,clients
1633,0.130876027,clients
1120,0.130614913,rps
1165,0.130505968,rps
21,0.130359037,accounting
1790,0.130359037,accounting
30,0.129996701,operation
1817,0.129779989,schemes
250,0.129651855,services
1625,0.129154761,fis
1710,0.128978594,rp
1946,0.128978594,itself
873,0.128931762,2015
1881,0.128863567,action
1888,0.128519149,action
2049,0.128205857,party
450,0.128160949,advisor
1531,0.12810513,management
1691,0.127936354,country
996,0.127605273,transactions
347,0.127571125,banking
146,0.127520945,money
1163,0.127361217,fis
1891,0.127336196,fis
1981,0.127288427,fis
91,0.127206308,system
1979,0.127206308,system
1072,0.126767073,attributes
1682,0.126756502,3
1065,0.126654201,clients
819,0.126212245,data
1288,0.126169853,offerings
6,0.125403428,technologies
811,0.125273518,crowdfunding
551,0.124970526,payments
990,0.124787761,1
1583,0.12451073,1
1724,0.12451073,preferences
457,0.124464448,preferences
37,0.124076454,solutions
1407,0.123958455,solutions
1922,0.12379691,solutions
1897,0.123661036,transaction
1416,0.123613599,networks
941,0.123488974,report
2057,0.123431097,report
1733,0.123310663,etc
463,0.123118137,markets
482,0.123071227,markets
1792,0.122864169,accounts
2024,0.122818899,sector
33,0.122690858,2
1743,0.122690858,world
1449,0.122190247,finnish
1069,0.122086228,eg
1816,0.122085383,ecosystem
661,0.120835469,investors
1041,0.120822133,scale
866,0.120741948,idps
324,0.120393915,regulation
424,0.119573111,providers
1564,0.119573111,system
1205,0.118955557,system
246,0.118946746,insurance
764,0.118923277,firms
1980,0.11866681,experience
102,0.118350081,firms
1807,0.117957533,firms
999,0.117903984,entities
1309,0.117655483,entities
2069,0.117655483,entities
662,0.117613115,entities
1255,0.116620458,lifestyle
1152,0.116525019,markets
1652,0.11637612,markets
1306,0.116280717,mentors
956,0.116209075,idps
671,0.116057095,1
1044,0.1158747,services
1644,0.115338766,hypotheses
695,0.115338509,registry
789,0.11496865,banks
1036,0.11496865,lenders
867,0.114804232,10
938,0.114804232,spend
1647,0.114500959,eg
1340,0.114208907,eg
1872,0.114049081,eg
124,0.112815291,physicalbased
1202,0.112815291,system
1543,0.112303285,assets
2018,0.112242794,firms
7,0.112223696,service
1414,0.112059657,2015
233,0.111962476,users
1080,0.111475847,infrastructure
89,0.111088241,identity
365,0.111088241,markets
1760,0.110482892,report
946,0.110312751,report
1532,0.110088246,party
1183,0.109292815,environment
1923,0.108314475,lenders
1511,0.107636107,6
1125,0.107597251,currencies
1930,0.107337935,mentors
49,0.107146132,tools
1744,0.106800129,banks
859,0.106749369,transactions
1375,0.106749369,network
1602,0.106749369,network
1517,0.106723482,system
676,0.106604341,schemes
8,0.106239441,2
860,0.106239441,eg
1603,0.106239441,eg
1737,0.106167992,eg
2000,0.106167992,information
145,0.105622319,portfolios
698,0.105141544,markets
1403,0.10481727,markets
427,0.104738508,industry
86,0.104569156,industry
3,0.104542086,region
576,0.10432496,ie
1780,0.10428723,blockchain
1195,0.104137192,bank
420,0.104085972,ecosystem
1850,0.103785693,providers
1714,0.103666643,1
818,0.103451744,1
317,0.103267687,use
461,0.103142995,use
548,0.102556607,solutions
1996,0.102459353,system
99,0.102349083,data
1740,0.101744326,fis
1832,0.101744326,platform
569,0.10171945,2
496,0.101474747,eg
1010,0.101323361,eg
1350,0.101094293,report
71,0.100972849,experience
492,0.10093977,providers
1215,0.100684195,base
241,0.100513509,credentials
1840,0.100280259,intermediaries
433,0.100033486,intermediaries
669,0.099915267,4
1467,0.0998233,8
487,0.099789092,identity
545,0.099789092,all
1912,0.099726642,cards
1829,0.099068162,partnerships
530,0.098777787,advice
321,0.098745103,rps
1708,0.098382361,purposes
1736,0.09814397,markets
113,0.097882316,system
1434,0.097840244,1
1706,0.0976892,1
795,0.09766592,rp
1935,0.097483782,payments
993,0.097453942,world
1497,0.097282253,data
444,0.097183593,data
952,0.097179039,preferences
984,0.09709993,bank
313,0.096989201,network
525,0.096989201,networks
649,0.096989201,2
752,0.096989201,capital
351,0.096859976,eg
2033,0.096825488,eg
1818,0.096752155,4
769,0.096733946,entities
1649,0.096733946,management
1083,0.096676132,decrease
1651,0.096676132,5
700,0.096459565,use
23,0.095678344,online
1962,0.095678344,products
348,0.09564021,technologies
1890,0.0955196,systems
322,0.095368778,systems
1908,0.094806572,bank
655,0.094662046,capital
80,0.094450691,idp
694,0.094450691,data
459,0.094364209,execution
925,0.093930735,accounts
1257,0.093867786,eg
711,0.093807634,eg
1513,0.093383047,eg
1519,0.093383047,transactions
2011,0.093383047,rps
791,0.093374406,insurance
1870,0.093369712,insurance
1376,0.093361933,europe
25,0.092864588,providers
1595,0.092698196,future
901,0.092354861,7
1435,0.092041295,capital
1800,0.09184932,channels
1755,0.091542968,infrastructure
1734,0.091207511,retention
774,0.091064037,management
191,0.090798401,network
1358,0.090654947,platform
1754,0.090615994,banks
1520,0.090596365,6
2041,0.090351407,required
15,0.090252233,data
1383,0.090252233,3
1610,0.090252233,eg
1993,0.089673683,eg
1412,0.089647725,serve
1752,0.089647725,services
1177,0.089609992,basis
1998,0.089379436,institutions
446,0.088632358,systems
454,0.088222087,products
563,0.0875217,identity
